0.98898	-0.14602	-0.024598
0.1253	0.91377	-0.38641
0.0789	0.37907	0.922
0.99463	-0.042917	0.094205
0.074997	0.92602	-0.36996
-0.071358	0.37504	0.92426
0.98756	-0.14975	0.047891
0.15667	0.96281	-0.22012
-0.013147	0.22489	0.9743
0.79111	0.089512	0.60509
0.085149	0.96349	-0.25385
-0.60572	0.25235	0.7546
0.93628	-0.12829	-0.32698
-0.023971	0.9054	-0.42389
0.35043	0.40472	0.84463
0.99948	-0.029696	-0.01239
0.010473	0.66432	-0.74738
0.030425	0.74686	0.66429
0.91297	-0.084418	0.3992
0.18541	0.95735	-0.22159
-0.36347	0.27632	0.88968
0.63179	0.23678	0.73809
-0.19365	0.97022	-0.14548
-0.75056	-0.051019	0.65883
0.92688	0.10667	0.35987
-0.12959	0.99076	0.040105
-0.35227	-0.083809	0.93214
0.95533	0.26667	0.12742
-0.18074	0.86826	-0.46201
-0.23384	0.41835	0.87767
0.98117	0.13349	-0.13962
-0.17521	0.91933	-0.35233
0.081322	0.37016	0.9254
0.98819	0.10405	-0.11248
-0.14955	0.81477	-0.56017
0.033357	0.57038	0.8207
0.9982	0.0055646	-0.059732
0.013599	0.94878	0.31564
0.058429	-0.31589	0.947
0.97489	0.097402	0.20027
0.073734	0.70739	-0.70297
-0.21014	0.70008	0.68244
0.99405	0.044095	0.099569
-0.0067195	0.93744	-0.34807
-0.10869	0.34534	0.93216
0.97139	-0.2286	0.064305
0.22282	0.97105	0.086122
-0.082131	-0.069331	0.99421
0.99598	-0.07284	-0.052218
0.052646	0.94701	-0.31685
0.072531	0.31283	0.94704
0.99561	-0.010107	0.093053
0.044797	0.92435	-0.37891
-0.082184	0.38141	0.92074
